Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Zombie Indicator
A21,2020-12-31,1333027,USD,2020,FY,2021-03-10,2022-04-19,,,9456609000.0,-7907270000.0,1549339000.0,-2218676000.0,-1118819000.0,-1099857000.0,,-669337000,208133000.0,188000000.0,-461204000,272327000.0,-188877000,22847000.0,-166030000,,-140795000,-791985000,-3.560303191489362
ABEO,2019-12-31,953884,USD,2019,FY,2020-03-16,2021-03-24,80567.0,80567.0,,,,-77090000.0,-20705000.0,-48566000.0,-7819000.0,-77090000,808000.0,808000.0,-76282000,,-76282000,,-76282000,,-76282000,-76282000,-95.40841584158416
ABIO,2016-12-31,953886,USD,2016,FY,2017-03-21,2018-03-22,504150.0,504150.0,,,,-16613000.0,-4265000.0,-12348000.0,,-16613000,169000.0,169000.0,-16444000,,-16444000,,-16444000,,-16444000,-16444000,-98.30177514792899
ABIO,2017-12-31,953886,USD,2017,FY,2018-03-22,2019-02-27,579985.0,579985.0,,,,-18712000.0,-4636000.0,-14076000.0,,-18712000,161000.0,161000.0,-18551000,,-18551000,61000.0,-18490000,,-18490000,-18490000,-116.22360248447205
ABIO,2018-12-31,953886,USD,2018,FY,2019-02-27,2020-02-18,769392.0,769392.0,,,,-8118000.0,-3879000.0,-4239000.0,,-8118000,154000.0,154000.0,-7964000,,-7964000,31000.0,-7933000,,-7933000,-7933000,-52.714285714285715
ABIO,2019-12-31,953886,USD,2019,FY,2020-02-18,2021-03-18,1321234.0,1321234.0,,,,-5814000.0,-3981000.0,-1833000.0,,-5814000,165000.0,165000.0,-5649000,,-5649000,167000.0,-5482000,,-5482000,-5482000,-35.236363636363635
ABIO,2020-12-31,953886,USD,2020,FY,2021-03-18,2022-03-14,4710237.0,4710237.0,,,,-9766000.0,-4774000.0,-4992000.0,,-9766000,19000.0,19000.0,-9747000,,-9747000,9000.0,-9738000,,-9738000,-9738000,-514.0
ABNB,2019-12-31,1214552,USD,2019,FY,2020-02-26,2022-02-25,263013000.0,263013000.0,4805239000.0,-1196313000.0,3608926000.0,-4110469000.0,-2318700000.0,-976695000.0,,-501543000,89840000.0,75934000.0,-411703000,,-411703000,-262636000.0,-674339000,,-674339000,-674339000,-6.60498590881555
ABUS,2016-12-31,953888,USD,2016,FY,2017-03-22,2018-03-16,53074401.0,53074401.0,1491000.0,,,-101783000.0,-39438000.0,-61253000.0,-1092000.0,-100292000,2511000.0,1391000.0,-97781000,-391385000.0,-489166000,105002000.0,-384164000,,-384164000,-384164000,-72.10064701653486
ABUS,2017-12-31,953888,USD,2017,FY,2018-03-16,2019-03-07,54723272.0,54723272.0,10700000.0,,,-80832000.0,-16129000.0,-62676000.0,-2027000.0,-70132000,3578000.0,1277000.0,-66554000,-42179000.0,-108733000,24320000.0,-84413000,,-84413000,-85324000,-54.919342208300705
ABUS,2018-12-31,953888,USD,2018,FY,2019-03-07,2020-03-05,55304083.0,55304083.0,5945000.0,,,-76117000.0,-16002000.0,-57934000.0,-2181000.0,-70172000,1818000.0,2821000.0,-68354000,7012000.0,-61342000,4282000.0,-57060000,,-57060000,-67151000,-24.874867068415455
ABUS,2019-12-31,953888,USD,2019,FY,2020-03-05,2021-03-04,57093454.0,57093454.0,6011000.0,,,-77356000.0,-17727000.0,-57601000.0,-2028000.0,-71345000,44000.0,3000.0,-71301000,-95078000.0,-166379000,12656000.0,-153723000,,-153723000,-164872000,-23781.666666666668
AC,2016-12-31,919941,USD,2016,FY,2017-03-14,2018-03-09,24870000.0,25175000.0,31227000.0,,,-41866000.0,-30968000.0,,,-10639000,12079000.0,12079000.0,1440000,12905000.0,14345000,-3876000.0,10469000,,10218000,10218000,-0.8807848331815548
AC,2017-12-31,919941,USD,2017,FY,2018-03-09,2019-03-08,23792000.0,23639000.0,26915000.0,,,-46588000.0,-36523000.0,,,-19673000,10274000.0,10274000.0,-9399000,15663000.0,6264000,2420000.0,8684000,,8837000,8837000,-1.914833560443839
AC,2018-12-31,919941,USD,2018,FY,2019-03-08,2019-03-08,23070000.0,22585000.0,22779000.0,,,-36259000.0,-26607000.0,,,-13480000,13122000.0,13122000.0,-358000,-68503000.0,-68861000,11478000.0,-57383000,,-58099000,-58099000,-1.0272824264593812
AC,2019-12-31,919941,USD,2019,FY,2020-03-16,2021-03-24,22475000.0,22475000.0,22205000.0,,,-29752000.0,-23810000.0,,,-7547000,12998000.0,12998000.0,5451000,51772000.0,57223000,-12627000.0,44596000,-1890000.0,39188000,39188000,-0.5806277888905985
AC,2020-12-31,919941,USD,2020,FY,2021-03-24,2022-03-17,22274000.0,22274000.0,18983000.0,,,-31452000.0,,,,-12469000,45359000.0,8495000.0,32890000,-3007000.0,29883000,-9374000.0,20509000,-632000.0,18816000,18816000,-1.4678045909358446
ACAD,2016-12-31,445591,USD,2016,FY,2017-02-28,2019-02-27,115858000.0,115858000.0,17331000.0,-3075000.0,14256000.0,-287071000.0,-186456000.0,-99284000.0,,-272815000,2763000.0,2763000.0,-270052000,,-270052000,-1341000.0,-271393000,,-271393000,-271393000,-98.73868982989504
ACAD,2017-12-31,445591,USD,2017,FY,2018-02-27,2019-02-27,122600000.0,122600000.0,124901000.0,-9077000.0,115824000.0,-408234000.0,-255062000.0,-149189000.0,,-292410000,4126000.0,4126000.0,-288284000,,-288284000,-1119000.0,-289403000,,-289403000,-289403000,-70.87009209888512
ACAD,2018-12-31,445591,USD,2018,FY,2019-02-27,2021-02-25,126583000.0,126583000.0,223807000.0,-12377000.0,211430000.0,-458874000.0,-265758000.0,-187163000.0,,-247444000,3508000.0,5348000.0,-243936000,,-243936000,-1256000.0,-245192000,,-245192000,-245192000,-46.26851159311892
ACAD,2019-12-31,445591,USD,2019,FY,2020-02-27,2022-03-01,147199000.0,147199000.0,339076000.0,-11344000.0,327732000.0,-574277000.0,-325638000.0,-240385000.0,,-246545000,12162000.0,11165000.0,-234383000,,-234383000,-876000.0,-235259000,,-235259000,-235259000,-22.081952530228392
ACAD,2020-12-31,445591,USD,2020,FY,2021-02-25,2022-03-01,157331000.0,157331000.0,441755000.0,-10211000.0,431544000.0,-718130000.0,-388661000.0,-319130000.0,,-286586000,5613000.0,6610000.0,-280973000,,-280973000,-611000.0,-281584000,,-281584000,-281584000,-43.35642965204236
ACER,2016-12-31,1053636,USD,2016,FY,2017-03-28,2018-03-07,2450000.0,2450000.0,,,,-6699844.0,-1391182.0,-5308662.0,,-6699844,282.0,282.0,-6699562,,-6699562,,-6699562,,-6699562,-6699562,-23758.312056737588
ACER,2018-12-31,1053636,USD,2018,FY,2019-03-07,2020-03-18,8555039.0,8555039.0,,,,-21713994.0,-9261570.0,-12452424.0,,-21713994,433103.0,412553.0,-21280891,,-21280891,,-21280891,,-21280891,-21280891,-52.63322288287808
ACER,2019-12-31,1053636,USD,2019,FY,2020-03-18,2021-03-01,10092179.0,10092179.0,,,,-29897441.0,-16046423.0,-13851018.0,,-29897441,479472.0,471267.0,-29417969,,-29417969,,-29417969,,-29417969,-29417969,-63.44055705152281
ACET,2018-12-31,1154966,USD,2018,FY,2019-03-18,2021-03-12,3778164.0,3778164.0,8181000.0,,,-23145000.0,-8428000.0,-14717000.0,,-14964000,5076000.0,543000.0,-9888000,,-9888000,589000.0,-9299000,,-9299000,-9299000,-27.558011049723756
